model,pooling,dataset_size,auc,test_pos,test_neg,embedding_dim,val_loss,runtime_sec
dinov3-vitl16,multicrop,100,0.858889,30,30,1024,0.560078,0.29
dinov3-vitl16,multicrop,250,0.913051,74,76,1024,0.222905,0.63
siglip-so400m,cls,50,0.688889,15,15,1152,0.675774,0.07
siglip-so400m,cls,100,0.703333,30,30,1152,0.648929,0.16
siglip-so400m,cls,250,0.658606,74,76,1152,0.64062,0.36
siglip-so400m,patch_mean,50,0.72,15,15,1152,0.647889,0.07
siglip-so400m,patch_mean,100,0.87,30,30,1152,0.534679,0.19
siglip-so400m,patch_mean,250,0.876956,74,76,1152,0.371181,0.44
siglip-so400m,patch_max,50,0.755556,15,15,1152,0.672078,0.08
siglip-so400m,patch_max,100,0.847778,30,30,1152,0.571929,0.19
siglip-so400m,patch_max,250,0.836415,74,76,1152,0.438337,0.42
siglip-so400m,patch_gem,50,0.755556,15,15,1152,0.690196,0.07
siglip-so400m,patch_gem,100,0.888889,30,30,1152,0.548713,0.16
siglip-so400m,patch_gem,250,0.870555,74,76,1152,0.380453,0.37
siglip-so400m,cls_patch,50,0.706667,15,15,2304,0.666646,0.08
siglip-so400m,cls_patch,100,0.844444,30,30,2304,0.635106,0.17
siglip-so400m,cls_patch,250,0.876422,74,76,2304,0.379814,0.41
siglip-so400m,multicrop,50,0.635556,15,15,1152,0.729017,0.06
siglip-so400m,multicrop,100,0.798889,30,30,1152,0.490668,0.22
siglip-so400m,multicrop,250,0.797475,74,76,1152,0.433476,0.46
clip-vitl14,cls,50,0.955556,15,15,1024,0.447685,0.09
clip-vitl14,cls,100,0.911111,30,30,1024,0.283435,0.29
clip-vitl14,cls,250,0.967105,74,76,1024,0.190919,0.62
clip-vitl14,patch_mean,50,0.884444,15,15,1024,0.542346,0.15
clip-vitl14,patch_mean,100,0.867778,30,30,1024,0.426419,0.25
clip-vitl14,patch_mean,250,0.95537,74,76,1024,0.203308,0.6
clip-vitl14,patch_max,50,0.826667,15,15,1024,0.53992,0.12
clip-vitl14,patch_max,100,0.845556,30,30,1024,0.432104,0.24
clip-vitl14,patch_max,250,0.934744,74,76,1024,0.299735,0.6
clip-vitl14,patch_gem,50,0.888889,15,15,1024,0.507229,0.16
clip-vitl14,patch_gem,100,0.88,30,30,1024,0.45149,0.26
clip-vitl14,patch_gem,250,0.951102,74,76,1024,0.263148,0.57
clip-vitl14,cls_patch,50,0.937778,15,15,2048,0.483363,0.15
clip-vitl14,cls_patch,100,0.891111,30,30,2048,0.387362,0.27
clip-vitl14,cls_patch,250,0.975462,74,76,2048,0.220192,0.62
clip-vitl14,multicrop,50,0.964444,15,15,1024,0.4418,0.1
clip-vitl14,multicrop,100,0.867778,30,30,1024,0.322978,0.32
clip-vitl14,multicrop,250,0.970306,74,76,1024,0.12061,0.86
