model,pooling,dataset_size,C,auc,test_pos,test_neg,embedding_dim,runtime_sec
dinov2-base,patch_mean,250,10.0,0.894559,74,76,768,0.09
dinov2-base,patch_max,50,0.01,0.804444,15,15,768,0.03
dinov2-base,patch_max,50,0.1,0.817778,15,15,768,0.03
dinov2-base,patch_max,50,1.0,0.817778,15,15,768,0.03
dinov2-base,patch_max,50,10.0,0.804444,15,15,768,0.03
dinov2-base,patch_max,100,0.01,0.878889,30,30,768,0.05
dinov2-base,patch_max,100,0.1,0.875556,30,30,768,0.05
dinov2-base,patch_max,100,1.0,0.871111,30,30,768,0.05
dinov2-base,patch_max,100,10.0,0.863333,30,30,768,0.05
dinov2-base,patch_max,250,0.01,0.889758,74,76,768,0.08
dinov2-base,patch_max,250,0.1,0.886735,74,76,768,0.08
dinov2-base,patch_max,250,1.0,0.885313,74,76,768,0.08
dinov2-base,patch_max,250,10.0,0.887447,74,76,768,0.08
dinov2-base,patch_gem,50,0.01,0.826667,15,15,768,0.04
dinov2-base,patch_gem,50,0.1,0.826667,15,15,768,0.04
dinov2-base,patch_gem,50,1.0,0.822222,15,15,768,0.04
dinov2-base,patch_gem,50,10.0,0.817778,15,15,768,0.04
dinov2-base,patch_gem,100,0.01,0.855556,30,30,768,0.06
dinov2-base,patch_gem,100,0.1,0.843333,30,30,768,0.06
dinov2-base,patch_gem,100,1.0,0.837778,30,30,768,0.06
dinov2-base,patch_gem,100,10.0,0.831111,30,30,768,0.06
dinov2-base,patch_gem,250,0.01,0.908606,74,76,768,0.08
dinov2-base,patch_gem,250,0.1,0.913762,74,76,768,0.08
dinov2-base,patch_gem,250,1.0,0.912696,74,76,768,0.08
dinov2-base,patch_gem,250,10.0,0.910384,74,76,768,0.08
dinov2-base,cls_patch,50,0.01,0.835556,15,15,1536,0.04
dinov2-base,cls_patch,50,0.1,0.844444,15,15,1536,0.04
dinov2-base,cls_patch,50,1.0,0.835556,15,15,1536,0.04
dinov2-base,cls_patch,50,10.0,0.813333,15,15,1536,0.04
dinov2-base,cls_patch,100,0.01,0.864444,30,30,1536,0.07
dinov2-base,cls_patch,100,0.1,0.857778,30,30,1536,0.07
dinov2-base,cls_patch,100,1.0,0.856667,30,30,1536,0.07
dinov2-base,cls_patch,100,10.0,0.855556,30,30,1536,0.07
dinov2-base,cls_patch,250,0.01,0.91074,74,76,1536,1.1
dinov2-base,cls_patch,250,0.1,0.91234,74,76,1536,1.1
dinov2-base,cls_patch,250,1.0,0.909851,74,76,1536,1.1
dinov2-base,cls_patch,250,10.0,0.909673,74,76,1536,1.1
dinov2-base,multicrop,50,0.01,0.831111,15,15,768,0.08
dinov2-base,multicrop,50,0.1,0.831111,15,15,768,0.08
dinov2-base,multicrop,50,1.0,0.831111,15,15,768,0.08
dinov2-base,multicrop,50,10.0,0.831111,15,15,768,0.08
dinov2-base,multicrop,100,0.01,0.884444,30,30,768,0.1
dinov2-base,multicrop,100,0.1,0.861111,30,30,768,0.1
dinov2-base,multicrop,100,1.0,0.853333,30,30,768,0.1
dinov2-base,multicrop,100,10.0,0.85,30,30,768,0.1
dinov2-base,multicrop,250,0.01,0.887269,74,76,768,0.13
dinov2-base,multicrop,250,0.1,0.878912,74,76,768,0.13
dinov2-base,multicrop,250,1.0,0.874467,74,76,768,0.13
dinov2-base,multicrop,250,10.0,0.872688,74,76,768,0.13
dinov2-large,cls,50,0.01,0.835556,15,15,1024,0.04
dinov2-large,cls,50,0.1,0.822222,15,15,1024,0.04
dinov2-large,cls,50,1.0,0.817778,15,15,1024,0.04
dinov2-large,cls,50,10.0,0.813333,15,15,1024,0.04
dinov2-large,cls,100,0.01,0.821111,30,30,1024,0.06
dinov2-large,cls,100,0.1,0.808889,30,30,1024,0.06
dinov2-large,cls,100,1.0,0.804444,30,30,1024,0.06
dinov2-large,cls,100,10.0,0.795556,30,30,1024,0.06
dinov2-large,cls,250,0.01,0.863265,74,76,1024,0.09
dinov2-large,cls,250,0.1,0.855797,74,76,1024,0.09
dinov2-large,cls,250,1.0,0.852952,74,76,1024,0.09
dinov2-large,cls,250,10.0,0.849929,74,76,1024,0.09
dinov2-large,patch_mean,50,0.01,0.782222,15,15,1024,0.04
dinov2-large,patch_mean,50,0.1,0.768889,15,15,1024,0.04
dinov2-large,patch_mean,50,1.0,0.76,15,15,1024,0.04
dinov2-large,patch_mean,50,10.0,0.755556,15,15,1024,0.04
dinov2-large,patch_mean,100,0.01,0.86,30,30,1024,0.06
dinov2-large,patch_mean,100,0.1,0.861111,30,30,1024,0.06
dinov2-large,patch_mean,100,1.0,0.856667,30,30,1024,0.06
dinov2-large,patch_mean,100,10.0,0.856667,30,30,1024,0.06
dinov2-large,patch_mean,250,0.01,0.887447,74,76,1024,0.09
dinov2-large,patch_mean,250,0.1,0.888158,74,76,1024,0.09
dinov2-large,patch_mean,250,1.0,0.887624,74,76,1024,0.09
dinov2-large,patch_mean,250,10.0,0.879979,74,76,1024,0.09
dinov2-large,patch_max,50,0.01,0.813333,15,15,1024,0.04
dinov2-large,patch_max,50,0.1,0.813333,15,15,1024,0.04
dinov2-large,patch_max,50,1.0,0.813333,15,15,1024,0.04
