model,pooling,dataset_size,C,auc,test_pos,test_neg,embedding_dim,runtime_sec
siglip-so400m,patch_gem,50,10.0,0.822222,15,15,1152,0.04
siglip-so400m,patch_gem,100,0.01,0.848889,30,30,1152,0.07
siglip-so400m,patch_gem,100,0.1,0.832222,30,30,1152,0.07
siglip-so400m,patch_gem,100,1.0,0.83,30,30,1152,0.07
siglip-so400m,patch_gem,100,10.0,0.828889,30,30,1152,0.07
siglip-so400m,patch_gem,250,0.01,0.863798,74,76,1152,0.12
siglip-so400m,patch_gem,250,0.1,0.862909,74,76,1152,0.12
siglip-so400m,patch_gem,250,1.0,0.855974,74,76,1152,0.12
siglip-so400m,patch_gem,250,10.0,0.858642,74,76,1152,0.12
siglip-so400m,cls_patch,50,0.01,0.928889,15,15,2304,0.06
siglip-so400m,cls_patch,50,0.1,0.928889,15,15,2304,0.06
siglip-so400m,cls_patch,50,1.0,0.937778,15,15,2304,0.06
siglip-so400m,cls_patch,50,10.0,0.933333,15,15,2304,0.06
siglip-so400m,cls_patch,100,0.01,0.851111,30,30,2304,0.1
siglip-so400m,cls_patch,100,0.1,0.842222,30,30,2304,0.1
siglip-so400m,cls_patch,100,1.0,0.836667,30,30,2304,0.1
siglip-so400m,cls_patch,100,10.0,0.832222,30,30,2304,0.1
siglip-so400m,cls_patch,250,0.01,0.868954,74,76,2304,1.44
siglip-so400m,cls_patch,250,0.1,0.863798,74,76,2304,1.44
siglip-so400m,cls_patch,250,1.0,0.857397,74,76,2304,1.44
siglip-so400m,cls_patch,250,10.0,0.874644,74,76,2304,1.44
siglip-so400m,multicrop,50,0.01,0.857778,15,15,1152,0.09
siglip-so400m,multicrop,50,0.1,0.835556,15,15,1152,0.09
siglip-so400m,multicrop,50,1.0,0.831111,15,15,1152,0.09
siglip-so400m,multicrop,50,10.0,0.831111,15,15,1152,0.09
siglip-so400m,multicrop,100,0.01,0.792222,30,30,1152,0.12
siglip-so400m,multicrop,100,0.1,0.778889,30,30,1152,0.12
siglip-so400m,multicrop,100,1.0,0.775556,30,30,1152,0.12
siglip-so400m,multicrop,100,10.0,0.771667,30,30,1152,0.12
siglip-so400m,multicrop,250,0.01,0.818279,74,76,1152,0.17
siglip-so400m,multicrop,250,0.1,0.80032,74,76,1152,0.17
siglip-so400m,multicrop,250,1.0,0.793919,74,76,1152,0.17
siglip-so400m,multicrop,250,10.0,0.807344,74,76,1152,0.17
clip-vitl14,cls,50,0.01,0.964444,15,15,1024,0.04
clip-vitl14,cls,50,0.1,0.968889,15,15,1024,0.04
clip-vitl14,cls,50,1.0,0.973333,15,15,1024,0.04
clip-vitl14,cls,50,10.0,0.977778,15,15,1024,0.04
clip-vitl14,cls,100,0.01,0.927778,30,30,1024,0.07
clip-vitl14,cls,100,0.1,0.926667,30,30,1024,0.07
clip-vitl14,cls,100,1.0,0.925556,30,30,1024,0.07
clip-vitl14,cls,100,10.0,0.923333,30,30,1024,0.07
clip-vitl14,cls,250,0.01,0.963727,74,76,1024,0.11
clip-vitl14,cls,250,0.1,0.965149,74,76,1024,0.11
clip-vitl14,cls,250,1.0,0.964972,74,76,1024,0.11
clip-vitl14,cls,250,10.0,0.963371,74,76,1024,0.11
clip-vitl14,patch_mean,50,0.01,0.875556,15,15,1024,0.04
clip-vitl14,patch_mean,50,0.1,0.884444,15,15,1024,0.04
clip-vitl14,patch_mean,50,1.0,0.893333,15,15,1024,0.04
clip-vitl14,patch_mean,50,10.0,0.897778,15,15,1024,0.04
clip-vitl14,patch_mean,100,0.01,0.867778,30,30,1024,0.08
clip-vitl14,patch_mean,100,0.1,0.866667,30,30,1024,0.08
clip-vitl14,patch_mean,100,1.0,0.865556,30,30,1024,0.08
clip-vitl14,patch_mean,100,10.0,0.86,30,30,1024,0.08
clip-vitl14,patch_mean,250,0.01,0.945413,74,76,1024,0.11
clip-vitl14,patch_mean,250,0.1,0.953058,74,76,1024,0.11
clip-vitl14,patch_mean,250,1.0,0.954481,74,76,1024,0.11
clip-vitl14,patch_mean,250,10.0,0.954125,74,76,1024,0.11
clip-vitl14,patch_max,50,0.01,0.817778,15,15,1024,0.04
clip-vitl14,patch_max,50,0.1,0.822222,15,15,1024,0.04
clip-vitl14,patch_max,50,1.0,0.813333,15,15,1024,0.04
clip-vitl14,patch_max,50,10.0,0.808889,15,15,1024,0.04
clip-vitl14,patch_max,100,0.01,0.862222,30,30,1024,0.06
clip-vitl14,patch_max,100,0.1,0.848889,30,30,1024,0.06
clip-vitl14,patch_max,100,1.0,0.844444,30,30,1024,0.06
clip-vitl14,patch_max,100,10.0,0.842222,30,30,1024,0.06
clip-vitl14,patch_max,250,0.01,0.924787,74,76,1024,0.09
clip-vitl14,patch_max,250,0.1,0.927454,74,76,1024,0.09
clip-vitl14,patch_max,250,1.0,0.928521,74,76,1024,0.09
clip-vitl14,patch_max,250,10.0,0.929232,74,76,1024,0.09
clip-vitl14,patch_gem,50,0.01,0.897778,15,15,1024,0.04
clip-vitl14,patch_gem,50,0.1,0.884444,15,15,1024,0.04
clip-vitl14,patch_gem,50,1.0,0.884444,15,15,1024,0.04
clip-vitl14,patch_gem,50,10.0,0.88,15,15,1024,0.04
clip-vitl14,patch_gem,100,0.01,0.871111,30,30,1024,0.06
clip-vitl14,patch_gem,100,0.1,0.863333,30,30,1024,0.06
clip-vitl14,patch_gem,100,1.0,0.865556,30,30,1024,0.06
clip-vitl14,patch_gem,100,10.0,0.863333,30,30,1024,0.06
clip-vitl14,patch_gem,250,0.01,0.936344,74,76,1024,0.1
clip-vitl14,patch_gem,250,0.1,0.940612,74,76,1024,0.1
clip-vitl14,patch_gem,250,1.0,0.942923,74,76,1024,0.1
clip-vitl14,patch_gem,250,10.0,0.942212,74,76,1024,0.1
clip-vitl14,cls_patch,50,0.01,0.951111,15,15,2048,0.06
clip-vitl14,cls_patch,50,0.1,0.96,15,15,2048,0.06
clip-vitl14,cls_patch,50,1.0,0.964444,15,15,2048,0.06
clip-vitl14,cls_patch,50,10.0,0.96,15,15,2048,0.06
clip-vitl14,cls_patch,100,0.01,0.917778,30,30,2048,0.09
clip-vitl14,cls_patch,100,0.1,0.914444,30,30,2048,0.09
clip-vitl14,cls_patch,100,1.0,0.915556,30,30,2048,0.09
clip-vitl14,cls_patch,100,10.0,0.908889,30,30,2048,0.09
clip-vitl14,cls_patch,250,0.01,0.966038,74,76,2048,1.35
clip-vitl14,cls_patch,250,0.1,0.970306,74,76,2048,1.35
clip-vitl14,cls_patch,250,1.0,0.970661,74,76,2048,1.35
clip-vitl14,cls_patch,250,10.0,0.972084,74,76,2048,1.35
clip-vitl14,multicrop,50,0.01,0.955556,15,15,1024,0.08
clip-vitl14,multicrop,50,0.1,0.973333,15,15,1024,0.08
clip-vitl14,multicrop,50,1.0,0.982222,15,15,1024,0.08
clip-vitl14,multicrop,50,10.0,0.986667,15,15,1024,0.08
clip-vitl14,multicrop,100,0.01,0.901111,30,30,1024,0.1
clip-vitl14,multicrop,100,0.1,0.89,30,30,1024,0.1
clip-vitl14,multicrop,100,1.0,0.887778,30,30,1024,0.1
clip-vitl14,multicrop,100,10.0,0.888889,30,30,1024,0.1
clip-vitl14,multicrop,250,0.01,0.963549,74,76,1024,0.14
clip-vitl14,multicrop,250,0.1,0.966927,74,76,1024,0.14
clip-vitl14,multicrop,250,1.0,0.966572,74,76,1024,0.14
clip-vitl14,multicrop,250,10.0,0.966038,74,76,1024,0.14
